IDs,canonical_smiles,pIC50,charge
CHEMBL2180158,Nc1ccc(C(=O)N2c3ccccc3Oc3ccccc32)cc1,4.966576244513051,0
CHEMBL2180185,O=C(c1ccc(Cl)cc1)N1c2ccccc2Oc2ccccc21,5.276544327964814,0
CHEMBL2180184,O=C(c1ccc([N+](=O)[O-])cc1)N1c2ccccc2Oc2ccccc21,5.367542707815276,0
CHEMBL2180183,O=C(c1ccccc1)N1c2ccccc2Oc2ccccc21,5.386158178123931,0
CHEMBL2180182,CC(=O)N1c2ccccc2Oc2ccccc21,5.0,0
CHEMBL2180181,O=C(Cl)N1c2ccccc2Oc2ccccc21,4.634512015109101,0
CHEMBL2180180,c1ccc(CN2c3ccccc3Oc3ccccc32)cc1,5.0,0
CHEMBL2180179,O=C1CN=C(c2cccc(Br)c2)c2oc3ccccc3c2N1,6.301029995663981,0
CHEMBL490,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,5.728158393463501,0
CHEMBL1163419,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]2OC3(O[C@H]21)C([N+](=O)[O-])=CC(=[N+]([O-])[O-])C=C3[N+](=O)[O-],4.818156412055227,-1
CHEMBL3103368,COC1=Cc2ccccc2N(C(N)=O)c2ccccc21,4.0,0
CHEMBL3103367,NC(=O)N1c2ccccc2C=C(N)c2ccccc21,5.0,0
CHEMBL3103366,CNC1=Cc2ccccc2N(C(N)=O)c2ccccc21,4.432973633840939,0
CHEMBL1068,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,5.0,0
CHEMBL1359461,CCOC1Cc2ccccc2N(C(N)=O)c2ccccc21,4.0,0
CHEMBL87992,CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc21,4.698970004336019,0
CHEMBL41543,NC(=O)N1c2ccccc2CCc2ccccc21,4.0,0
CHEMBL1067,NC(=O)N1c2ccccc2CC(O)c2ccccc21,4.0,0
CHEMBL1258,NC(=O)N1c2ccccc2C2OC2c2ccccc21,5.0,0
CHEMBL3103396,NC(=O)N1c2ccccc2C=Cc2cc(O)ccc21,3.835647144215563,0
CHEMBL3103395,NC(=O)N1c2ccccc2C=Cc2ccc(O)cc21,4.137868620686962,0
CHEMBL3103394,CCN(CC)C(=O)N1c2ccccc2C=Cc2ccncc21,4.0,0
CHEMBL2177626,NC(=O)N1c2ccccc2C=Cc2cc(F)ccc21,4.0,0
CHEMBL3103393,CN(C)c1ccc2c(c1)N(C(N)=O)c1ccccc1C=C2,4.815308569182402,0
CHEMBL3103392,NC(=O)N1c2ccccc2C=Cc2c1ccc1ccccc21,4.289036881004725,0
CHEMBL3103391,COc1ccc2c(c1)N(C(N)=O)c1ccccc1C=C2,4.0,0
CHEMBL3103390,NC(=O)N1c2ccccc2C=Cc2ccc(C(F)(F)F)cc21,4.262807357295263,0
CHEMBL3103389,NC(=O)N1c2ccccc2C=Cc2ccc(F)cc21,4.0,0
CHEMBL3103388,Cc1ccc2c(c1)N(C(N)=O)c1ccccc1C=C2,4.0,0
CHEMBL3103387,CCN(CC)C(=O)N1c2ccccc2C=Cc2cccc(C(=O)N(C(C)C)C(C)C)c21,4.279840696594043,0
CHEMBL3103386,CC(C)N(C(=O)c1cccc2c1Nc1ccccc1C=C2)C(C)C,4.51427857351842,0
CHEMBL3103385,CC(C)N(C(=O)N1c2ccccc2C=Cc2ccccc21)C(C)C,5.46344155742847,0
CHEMBL3103384,O=C(Nc1ccncc1)N1c2ccccc2C=Cc2ccccc21,4.0,0
CHEMBL3103383,O=C(Nc1ccccc1)N1c2ccccc2C=Cc2ccccc21,4.0,0
CHEMBL3103382,NC1CCC(NC(=O)N2c3ccccc3C=Cc3ccccc32)CC1,5.0,0
CHEMBL3103381,O=C(NC1CCC(O)CC1)N1c2ccccc2C=Cc2ccccc21,4.698970004336019,0
CHEMBL3103380,O=C(N1CCC(O)CC1)N1c2ccccc2C=Cc2ccccc21,4.0,0
CHEMBL3103379,O=C(N(CCO)CCO)N1c2ccccc2C=Cc2ccccc21,4.0,0
