IDs,canonical_smiles,IC50
CHEMBL2180185,O=C(c1ccc(Cl)cc1)N1c2ccccc2Oc2ccccc21,5290.0
CHEMBL2180184,O=C(c1ccc([N+](=O)[O-])cc1)N1c2ccccc2Oc2ccccc21,4290.0
CHEMBL2180183,O=C(c1ccccc1)N1c2ccccc2Oc2ccccc21,4110.0
CHEMBL2180182,CC(=O)N1c2ccccc2Oc2ccccc21,10000.0
CHEMBL2180181,O=C(Cl)N1c2ccccc2Oc2ccccc21,23200.0
CHEMBL2180180,c1ccc(CN2c3ccccc3Oc3ccccc32)cc1,10000.0
CHEMBL2180179,O=C1CN=C(c2cccc(Br)c2)c2oc3ccccc3c2N1,500.0
CHEMBL490,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,1870.0
CHEMBL1163419,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]2OC3(O[C@H]21)C([N+](=O)[O-])=CC(=[N+]([O-])[O-])C=C3[N+](=O)[O-],15200.0
CHEMBL3103368,COC1=Cc2ccccc2N(C(N)=O)c2ccccc21,100000.0
CHEMBL3103367,NC(=O)N1c2ccccc2C=C(N)c2ccccc21,10000.0
CHEMBL3103366,CNC1=Cc2ccccc2N(C(N)=O)c2ccccc21,36900.0
CHEMBL1068,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,10000.0
CHEMBL1359461,CCOC1Cc2ccccc2N(C(N)=O)c2ccccc21,100000.0
CHEMBL87992,CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc21,20000.0
CHEMBL41543,NC(=O)N1c2ccccc2CCc2ccccc21,100000.0
CHEMBL1067,NC(=O)N1c2ccccc2CC(O)c2ccccc21,100000.0
CHEMBL1258,NC(=O)N1c2ccccc2C2OC2c2ccccc21,10000.0
CHEMBL3103396,NC(=O)N1c2ccccc2C=Cc2cc(O)ccc21,146000.0
CHEMBL3103395,NC(=O)N1c2ccccc2C=Cc2ccc(O)cc21,72800.0
CHEMBL3103394,CCN(CC)C(=O)N1c2ccccc2C=Cc2ccncc21,100000.0
CHEMBL2177626,NC(=O)N1c2ccccc2C=Cc2cc(F)ccc21,100000.0
CHEMBL3103393,CN(C)c1ccc2c(c1)N(C(N)=O)c1ccccc1C=C2,15300.0
CHEMBL3103392,NC(=O)N1c2ccccc2C=Cc2c1ccc1ccccc21,51400.0
CHEMBL3103391,COc1ccc2c(c1)N(C(N)=O)c1ccccc1C=C2,100000.0
